Placing,Region,Year
First,LEC,2011
First,PCS,2012
First,LCK,2013
First,LCK,2014
First,LCK,2015
First,LCK,2016
First,LCK,2017
First,LPL,2018
First,LPL,2019
First,LCK,2020
Second,LEC,2011
Second,LCK,2012
Second,LPL,2013
Second,LPL,2014
Second,LCK,2015
Second,LCK,2016
Second,LCK,2017
Second,LEC,2018
Second,LEC,2019
Second,LPL,2020
Third,LCS,2011
Third,LEC,2012
Third,LEC,2013
Third,LPL,2014
Third,LEC,2015
Third,LEC,2016
Third,LPL,2017
Third,LCS,2018
Third,LPL,2019
Third,LEC,2020
Fourth,LCS,2011
Fourth,LCL,2012
Fourth,LCK,2013
Fourth,LCK,2014
Fourth,LEC,2015
Fourth,LCK,2016
Fourth,LPL,2017
Fourth,LEC,2018
Fourth,LCK,2019
Fourth,LPL,2020